time,distance,velocity,raw_velocity
0.519,0.985,0.09748157,0.08042622
0.52,0.988,0.09768455,0.07983208
0.521,0.992,0.09788813,0.07920361
0.522,0.995,0.09809231,0.0785408
0.523,0.999,0.0982971,0.07784653
0.524,1.002,0.09850249,0.07711792
0.525,1.006,0.0987085,0.07635689
0.526,1.009,0.09891513,0.07556057
0.527,1.012,0.09912239,0.07473183
0.528,1.016,0.09933029,0.07387161
0.529,1.019,0.09953884,0.07297325
0.53,1.023,0.09974805,0.07204723
0.531,1.026,0.09995794,0.07108212
0.532,1.03,0.1001685,0.07008839
0.533,1.033,0.1003798,0.06905842
0.534,1.037,0.1005919,0.06799603
0.535,1.04,0.1008047,0.06690025
0.536,1.044,0.1010183,0.0657711
0.537,1.047,0.1012327,0.06460762
0.538,1.051,0.1014479,0.06342697
0.539,1.054,0.1016641,0.06229591
0.54,1.058,0.1018811,0.06122112
0.541,1.061,0.102099,0.06021118
0.542,1.065,0.102318,0.05926514
0.543,1.068,0.1025379,0.05837822
0.544,1.072,0.1027589,0.05755615
0.545,1.075,0.1029809,0.05679417
0.546,1.079,0.10320409999999999,0.05609608
0.547,1.082,0.1034284,0.05545712
0.548,1.086,0.1036539,0.05488396
0.549,1.089,0.1038807,0.05437088
0.55,1.093,0.1041087,0.05391979
0.551,1.096,0.104338,0.0535326
0.552,1.1,0.1045688,0.05320454
0.553,1.103,0.1048009,0.05294228
0.554,1.107,0.1050345,0.05273914
0.555,1.111,0.1052696,0.05259895
0.556,1.114,0.1055062,0.05252075
0.557,1.118,0.1057445,0.05250645
0.558,1.121,0.1059845,0.05255222
0.559,1.125,0.1062261,0.05266094
0.56,1.129,0.1064695,0.0528326
0.561,1.132,0.1067148,0.0530653
0.562,1.136,0.1069619,0.05335903
0.563,1.139,0.107211,0.05371571
0.564,1.143,0.1074621,0.05413723
0.565,1.147,0.1077152,0.05461788
0.566,1.15,0.1079704,0.05516052
0.567,1.154,0.1082278,0.05576706
0.568,1.157,0.1084874,0.05643463
0.569,1.161,0.1087493,0.05716419
0.57,1.165,0.1090135,0.05795574
0.571,1.168,0.1092802,0.05881119
0.572,1.172,0.1095493,0.05972767
0.573,1.176,0.109821,0.06070518
0.574,1.179,0.1100952,0.0617466
0.575,1.183,0.1103721,0.06284809
0.576,1.187,0.1106517,0.06401443
0.577,1.19,0.1109341,0.06523991
0.578,1.194,0.1112193,0.06653023
0.579,1.198,0.1115074,0.06788158
0.58,1.201,0.1117985,0.06929398
0.581,1.205,0.1120927,0.07077122
0.582,1.209,0.1123899,0.07230663
0.583,1.212,0.1126903,0.07390785
0.584,1.216,0.1129939,0.07556915
0.585,1.22,0.1133007,0.07729435
0.586,1.224,0.113611,0.07907963
0.587,1.227,0.1139246,0.08092785
0.588,1.231,0.1142417,0.08282423
0.589,1.235,0.1145624,0.08471203
0.59,1.238,0.1148866,0.08657551
0.591,1.242,0.1152145,0.08841705
0.592,1.246,0.1155461,0.09023523
0.593,1.25,0.1158815,0.09202957
0.594,1.253,0.1162207,0.09380054
0.595,1.257,0.1165638,0.09555006
0.596,1.261,0.1169108,0.09727573
0.597,1.265,0.1172619,0.09897804
0.598,1.268,0.1176171,0.1006575
0.599,1.272,0.1179763,0.102313
0.6,1.276,0.1183398,0.1039462
0.601,1.28,0.1187075,0.1055555
0.602,1.284,0.1190794,0.1071434
0.603,1.287,0.1194558,0.1087065
0.604,1.291,0.1198365,0.1102471
0.605,1.295,0.1202217,0.1117635
0.606,1.299,0.1206114,0.1132588
0.607,1.303,0.1210056,0.1147294
0.608,1.306,0.1214044,0.1161776
0.609,1.31,0.1218079,0.1176028
0.61,1.314,0.1222161,0.1190047
0.611,1.318,0.1226291,0.1203833
0.612,1.322,0.1230469,0.121738
0.613,1.325,0.1234695,0.1230712
0.614,1.329,0.1238969,0.1243801
0.615,1.333,0.1243294,0.1256666
0.616,1.337,0.1247668,0.1269293
0.617,1.341,0.1252092,0.1281695
0.618,1.345,0.1256567,0.1293859
0.619,1.349,0.1261093,0.1305795
0.62,1.352,0.1265671,0.1317501
0.621,1.356,0.1270301,0.1328979
0.622,1.36,0.1274982,0.1340218
0.623,1.364,0.1279717,0.1351235
0.624,1.368,0.1284504,0.1362011
0.625,1.372,0.1289345,0.1372559
0.626,1.376,0.1294239,0.1382878
0.627,1.38,0.1299188,0.1392972
0.628,1.383,0.1304191,0.1402819
0.629,1.387,0.1309249,0.1412446
0.63,1.391,0.1314362,0.142184
0.631,1.395,0.131953,0.1431003
0.632,1.399,0.1324754,0.1439929
0.633,1.403,0.1330034,0.1448636
0.634,1.407,0.133537,0.1457098
0.635,1.411,0.1340763,0.1465337
0.636,1.415,0.1346212,0.1473348
0.637,1.419,0.1351719,0.1481116
0.638,1.423,0.1357283,0.1488652
0.639,1.427,0.1362904,0.14959
0.64,1.43,0.1368584,0.1502857
0.641,1.434,0.1374321,0.1509519
0.642,1.438,0.1380117,0.1515889
0.643,1.442,0.1385972,0.1521965
0.644,1.446,0.1391886,0.1527745
0.645,1.45,0.1397858,0.1533234
0.646,1.454,0.140389,0.1538427
0.647,1.458,0.1409982,0.1543329
0.648,1.462,0.1416134,0.1547935
0.649,1.466,0.1422346,0.155225
0.65,1.47,0.14286190000000001,0.1556271
0.651,1.474,0.1434952,0.1559993
0.652,1.478,0.1441346,0.156343
0.653,1.482,0.1447801,0.1566565
0.654,1.486,0.1454318,0.1569414
0.655,1.49,0.1460897,0.1571962
0.656,1.494,0.1467538,0.1574224
0.657,1.498,0.1474241,0.1576186
0.658,1.502,0.1481007,0.1577857
0.659,1.506,0.1487836,0.1579233
0.66,1.51,0.1494728,0.1580323
0.661,1.514,0.1501684,0.1581106
0.662,1.518,0.1508703,0.1581606
0.663,1.522,0.1515787,0.1581807
0.664,1.526,0.1522935,0.1581714
0.665,1.531,0.1530149,0.158133
0.666,1.535,0.1537427,0.1580656
0.667,1.539,0.154477,0.1579685
0.668,1.543,0.155218,0.1578414
0.669,1.547,0.1559656,0.1576858
0.67,1.551,0.1567198,0.1575003
0.671,1.555,0.1574807,0.1572857
0.672,1.559,0.1582484,0.1570418
0.673,1.563,0.1590228,0.1567683
0.674,1.567,0.1598041,0.156466
0.675,1.571,0.1605921,0.1561339
0.676,1.575,0.1613871,0.155772
0.677,1.58,0.162189,0.1553812
0.678,1.584,0.1629979,0.1549611
0.679,1.588,0.1638137,0.1545119
0.68,1.592,0.1646367,0.1540322
0.681,1.596,0.1654667,0.1535249
0.682,1.6,0.1663039,0.152987
0.683,1.604,0.1671482,0.1524334
0.684,1.608,0.1679998,0.1519175
0.685,1.612,0.1688587,0.151454
0.686,1.617,0.1697249,0.151042
0.687,1.621,0.1705985,0.150681
